Compound.Name,IS_index1,IS_index2,IS_index3,IS_appropriate1,IS_appropriate2,IS_appropriate3,AMS1_PMF_1r2,AMS1_PMF_2r2,AMS1_PMF_3r2,AMS1_PMF_4r2,AMS1_PMF_5r2,AMS1_PMF_6r2,AMS2_PMF_1r2,AMS2_PMF_2r2,AMS2_PMF_3r2,AMS2_PMF_4r2,AMS2_PMF_5r2,AMS2_PMF_6r2,cumsum_ISnormnorm,cumsum_ISrawnorm1,cumsum_ISrawnorm2,BlobID,Library.Name,Library.Match.Factor,Library.Reverse.Match.Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Compound.Name_chamber,Library.Match.Factor_chamber,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
1128_1901_blob_784,11,25,26,dC14,methoxyphenol-d3,pentaerythritol-C13,0.41523022,0.245302905,0.497596865,0.218304816,0.544137864,0.050829147,0.034204518,0.455028616,0.395420014,-0.20115641,-0.121911728,-0.088739366,0.000595557,0.000923045,0.000330731,784,amz_lib_1128_1901,999,999,C7 acid,433,491,1569.565217,NA,"2-Hydroxycyclohexane-1-carboxylic acid, bis(trimethylsilyl) deriv.",742,799,NA,C13H28O3Si2,288,myrc_ox_L_blob_682,689,699,1567
1221_0832_blob_683,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.739837676,0.405476033,-0.056054451,0.230149628,0.264628817,0.159999525,0.690325781,0.47092683,0.181404807,0.105780004,0.384655704,0.037188234,0.000842396,0.000918423,0.000780918,683,amz_lib_1221_0832,999,999,C7 acid,478,518,1790.243902,NA,"2,2-Dimethyl-5-[2-(2-trimethylsilylethoxymethoxy)-propyl]-[1,3]dioxolane-4-carboxaldehyde",650,701,NA,C15H30O5Si,318,apin_ox_S_blob_590,632,662,1795
1202_0046_blob_1009,11,26,12,dC14,pentaerythritol-C13,dC16,0.380913529,0.657215078,-0.108427609,0.157682858,0.166818412,0.050092216,0.570066104,0.580001539,0.118767115,0.095886924,-0.390645881,-0.506104606,0.000511174,0.000917593,0.000182522,1009,amz_lib_1202_0046,999,999,C7 acid,447,573,2005.882353,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",722,753,NA,C13H26BNO6Si,331,limonox_S_blob_788,482,621,1989
1202_1412_blob_1021,11,26,12,dC14,pentaerythritol-C13,dC16,0.477180811,0.520858077,0.036719296,0.066420239,0.184879221,-0.017155902,0.396785925,-0.000108863,0.032161161,0.40715043,0.481912315,0.387823721,0.000600949,0.000910852,0.000350345,1021,amz_lib_1202_1412,999,999,C7 acid,543,670,1940.939597,NA,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",671,687,NA,C13H26BNO6Si,331,limonox_S_blob_706,511,534,1947
1128_1901_blob_678,11,26,12,dC14,pentaerythritol-C13,dC16,-0.013857731,0.378268309,-0.242620857,-0.082206131,-0.235544083,0.348549521,-0.089133563,-0.213414721,0.142484153,0.556267748,0.660681832,0.838267826,0.000543927,0.000910728,0.000247311,678,amz_lib_1128_1901,999,999,C26,889,889,2646.728972,2649,"Eicosane, 7-hexyl-",858,858,NA,C26H54,366,limonox_S_blob_969,0,561,1378
1202_1412_blob_1098,11,26,12,dC14,pentaerythritol-C13,dC16,0.574026361,0.647067412,0.247661202,0.211790123,0.364747678,0.067472335,NA,NA,NA,NA,NA,NA,0.000400712,0.000896242,NA,1098,amz_lib_1202_1412,999,999,"beta-caryophyllonic acid, TMS",518,627,1919.463087,1931,"a-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate",732,759,NA,C13H26BNO6Si,331,limonox_S_blob_847,603,673,1925
1221_0832_blob_676,11,25,4,dC14,methoxyphenol-d3,"d-C10 acid, TMS",0.499300274,0.316375299,0.354253596,0.774437556,0.489329723,0.356437967,0.442398471,-0.270587315,-0.150337586,0.19795194,0.561511604,0.233578717,0.000535165,0.000888941,0.000249082,676,amz_lib_1221_0832,999,999,C9 Diacid (azelaic acid),431,459,1817.449664,1822,Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,685,786,NA,C9H22O2SSi2,250,limonox_S_blob_633,644,712,NA
1129_1334_blob_625,11,26,12,dC14,pentaerythritol-C13,dC16,0.154592,0.24165502,0.228608713,0.836039844,0.727197453,0.659405729,0.855663871,-0.543619108,-0.101866039,-0.982196356,-0.278872269,-0.325434872,0.000411902,0.000887509,2.73E-05,625,amz_lib_1129_1334,999,999,MBTCA,443,476,1783.030303,1776,"D-Ribofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",774,814,NA,C17H42O5Si4,438,myrc_ox_L_blob_727,600,619,1774
1202_1412_blob_615,11,26,25,dC14,pentaerythritol-C13,methoxyphenol-d3,0.320786091,-0.342695526,0.080257273,0.98475716,0.237082797,0.569551467,NA,NA,NA,NA,NA,NA,0.000395191,0.000883892,NA,615,amz_lib_1202_1412,999,999,C7 acid,391,429,1791.515152,NA,"ﬂ-D-Xylofuranose, 1,2-bis-O-(trimethylsilyl)-, cyclic methylboronate",615,632,NA,C12H27BO5Si2,318,apin_ox_S_blob_590,480,498,1795
1221_0832_blob_681,11,26,12,dC14,pentaerythritol-C13,dC16,0.851096655,0.432226243,0.340933053,0.163690935,0.462556166,0.052754407,0.783580977,0.126405912,-0.027948734,-0.069280612,0.139581363,-0.055898869,0.001132798,0.000878795,0.001338199,681,amz_lib_1221_0832,999,999,galactosan,513,615,1670.731707,1684,"2-Deoxypentofuranose, 3TMS derivative",707,720,NA,C14H34O4Si3,350,apin_ox_L_blob_551,709,728,1667
