Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,AMS_PMF_1_iepox,AMS_PMF_2_moooa,AMS_PMF_3_loooa,AMS_PMF_4_bboa,AMS_PMF_5_arom,AMS_PMF_6_hc,cluster,Assigned_Option_2
1129_1334_blob_957,0.766680208,0.371886584,0.551927003,0.838821867,0.534931428,-0.22458459,-0.052656292,0.087578328,0.770007717,0.528062223,0.430935694,0.019207889,0.460805976,-0.055577656,NA,2a
1129_1334_blob_952,0.933304641,0.388986167,0.570365916,0.899955455,0.466765304,-0.172080082,0.103296875,0.020540318,0.720551495,0.637514669,0.477259885,0.034905782,0.410366806,0.001014829,NA,2a
1129_1334_blob_947,0.670071797,0.117934724,0.346162712,0.446803415,-0.055205262,-0.111970959,0.018289795,-0.165836613,0.22702661,0.402863989,0.122345184,0.01435709,-0.00037969,-0.100435245,NA,2a
1129_1334_blob_938,0.722582484,0.136351051,0.378868961,0.541321872,0.134820143,-0.233610209,-0.003728826,-0.223079432,0.379992375,0.417717376,0.393167584,-0.002467032,0.128465757,-0.128655921,NA,2a
1129_1334_blob_928,0.828722575,0.531227662,0.517764612,0.908745301,0.59212704,-0.256007884,0.003246038,0.067523579,0.780202922,0.602148474,0.517959152,0.194056965,0.597979459,0.010365281,NA,2a
1129_1334_blob_924,0.909787427,0.352121136,0.731366931,0.848717938,0.268711328,-0.155863653,0.128273443,0.017168835,0.698071114,0.644452724,0.218400049,0.016325799,0.279667648,-0.015391783,NA,2a
1129_1334_blob_910,0.569109714,0.419569145,0.202984286,0.531683894,0.579510691,-0.345308874,-0.074641399,-0.113517949,0.232983064,0.4117379,0.593576787,0.157336722,0.559447873,0.043876345,NA,3
1129_1334_blob_907,0.393888307,0.678436284,0.293296962,0.679602345,0.603718294,-0.373976512,-0.224522933,0.061669487,0.688164004,0.311993899,0.629713045,0.615746678,0.796586511,0.166496003,NA,2b
1129_1334_blob_903,0.469045148,0.266455018,0.28855967,0.347841793,0.051120661,-0.138200461,-0.036184892,-0.04972403,0.103944159,0.302836494,0.01804438,0.121427449,0.157526318,-0.017729629,NA,2a
1129_1334_blob_897,0.316005446,0.829946089,0.187372597,0.573586777,0.533912623,-0.334093336,-0.225917447,0.219142872,0.43535459,0.28778519,0.367217933,0.702434498,0.703529969,0.213114394,NA,2b
1129_1334_blob_895,0.659740529,0.500123469,0.361040456,0.686319953,0.660708782,-0.450656501,-0.207992298,-0.116287957,0.494168089,0.464987143,0.569219544,0.199223563,0.630820002,-0.02494752,NA,2a
1129_1334_blob_891,0.759823205,0.299164635,0.815831163,0.758455656,0.330234187,-0.199283653,0.111189478,-0.004026031,0.694016334,0.617675119,0.122458931,-0.022269937,0.180196088,-0.140431328,NA,1
1129_1334_blob_870,0.476551953,0.360304578,0.301441353,0.392457906,0.064788047,-0.172357013,-0.058209616,-0.011809139,0.14387793,0.331734301,-0.006044355,0.170396639,0.220872445,0.015379465,NA,2a
1129_1334_blob_833,0.534043547,0.251604735,0.503166125,0.469985401,0.224125625,-0.068702106,0.059186272,-0.171706351,0.393681975,0.605479215,0.013259246,0.086802356,0.182054359,-0.018454177,NA,2a
