Compound.Name,anthrovol,bbvol,cluster_vol.z1,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,cluster_vol.z7,cluster_vol.z8,cluster_vol.z9,cluster_vol.z10,cluster_vol.z11,cluster_vol.z12,cluster_vol.z13,AMS_PMF_1,AMS_PMF_2,AMS_PMF_3,AMS_PMF_4,AMS_PMF_5,AMS_PMF_6,cluster,max_corr,assigned_cluster
1206_0924_blob_541,-0.104257421,0.266576742,-0.074363568,0.09569836,-0.173673374,0.073955573,0.299235569,-0.148146242,0.123321398,-0.085870247,0.266783441,-0.049984889,-0.011836982,0.086407856,0.038261516,0.001687921,0.22378031,0.493953673,0.460934702,0.263529501,NA,cluster_vol.z6,6
1213_2145_blob_1314,0.003867575,0.343702105,0.012168392,0.390657342,-0.078655973,-0.029954482,0.459242913,-0.099315973,0.283599949,0.143230932,0.346566718,0.114843612,0.10062814,0.015803513,0.102465494,0.140903877,0.219427402,0.234913231,0.200516144,0.068573007,NA,cluster_vol.z6,6
1213_2145_blob_732,-0.20441515,0.568898463,0.010724044,0.339388592,-0.351600834,-0.006381327,0.693873244,-0.427024066,0.185544673,0.093509828,0.565568636,-0.06167937,-0.079010948,0.076224557,0.091252063,0.019627536,0.224678732,0.629957023,0.53131257,0.145910656,NA,cluster_vol.z6,6
1213_2145_blob_760,0.112484532,0.074601497,0.018950469,0.220783549,-0.159669672,0.032606251,0.284487549,-0.110029757,0.017387044,-0.094003186,0.091452377,0.080358928,-0.020074725,0.163319558,-0.062420274,0.11281209,0.165122911,-0.022900099,0.02563067,-0.06906422,NA,cluster_vol.z6,6
1213_2145_blob_804,0.128257125,0.087142903,0.02139842,0.225778677,-0.15143885,0.039571342,0.275336549,-0.092144258,0.029324637,-0.075619188,0.104256748,0.097842684,-0.007806922,0.169193578,-0.048360902,0.099231078,0.183734249,-0.011073589,0.04124446,-0.066479898,NA,cluster_vol.z6,6
1221_0832_blob_1018,0.008169449,0.331500649,0.129044287,0.336649259,0.123681064,-0.106236408,0.373903553,0.021517078,0.30468217,0.222526579,0.320014797,0.110474027,0.13575163,0.034345536,0.101495673,0.259991812,0.091338528,0.194360217,0.110713238,0.187360887,NA,cluster_vol.z6,6
1221_0832_blob_730,0.119508088,0.512374866,-0.006469184,0.651306795,-0.432922402,0.231530654,0.692137336,-0.341519352,0.28397151,-0.069725102,0.535399001,0.264919573,0.20172039,0.332284744,0.343368453,0.156518314,0.623664764,0.498948328,0.706445236,0.12636741,NA,cluster_vol.z6,6
1221_0832_blob_897,-0.291556158,0.427845011,-0.13444748,0.263164652,0.362171263,0.134704551,0.49620751,-0.011318164,0.420170516,0.410662632,0.402202684,-0.099499275,0.029142896,-0.166083596,0.188740906,0.109078497,0.089537538,0.473059322,0.216709393,0.324710505,NA,cluster_vol.z6,6
cluster_vol.z6,0.081450119,0.662044895,0.186480918,0.671438873,-0.201316643,0.085445892,1,-0.222928414,0.398524516,0.21336427,0.67186697,0.258921321,0.187183614,0.345721222,0.343907978,0.371092748,0.324747688,0.528162448,0.585584323,0.18531668,NA,cluster_vol.z6,6
1128_1901_blob_1027,-0.10370168,-0.191614202,-0.104561985,-0.184098604,0.252618474,-0.049365881,-0.111696942,0.496029125,-0.150397443,0.054075373,-0.19683657,-0.134439877,-0.162934458,-0.179041545,-0.187820049,-0.181192491,-0.138223118,-0.125766239,-0.182238434,-0.026770014,NA,cluster_vol.z7,7
1128_1901_blob_1045,-0.069935507,-0.221378503,0.062938483,-0.01631543,0.22212759,-0.048363973,-0.101588297,0.363792233,-0.049851974,0.007333047,-0.224369434,-0.098587816,-0.081787529,-0.018174714,-0.191652443,-0.068813934,-0.096075654,-0.279121834,-0.266759859,-0.171502304,NA,cluster_vol.z7,7
1128_1901_blob_1189,-0.073446093,-0.27315409,-0.08180768,-0.185702124,0.30087858,-0.023577671,-0.322444769,0.517056918,-0.116013131,-0.012532789,-0.274372439,-0.116794703,-0.042522264,-0.184036892,-0.16868201,-0.156057666,-0.170598357,-0.232052279,-0.296033484,-0.101660657,NA,cluster_vol.z7,7
1128_1901_blob_1203,0.272724291,0.120739499,0.089344661,0.187814,0.134064734,-0.00323405,0.081981568,0.536828563,0.204525022,0.009875683,0.136319862,0.230569168,0.307036026,0.143007538,0.146049938,0.22538829,0.142057294,-0.092653837,-0.033929393,-0.116495842,NA,cluster_vol.z7,7
1128_1901_blob_1226,-0.11861419,-0.223658717,-0.109432168,-0.211115034,0.226444088,-0.019084315,-0.146665687,0.487004312,-0.19262345,0.023428838,-0.229351766,-0.153709962,-0.185929381,-0.204788077,-0.223057162,-0.207736947,-0.140821698,-0.151423434,-0.198003375,-0.049393614,NA,cluster_vol.z7,7
