PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,time_start,time_end,time_start_num,,,
0.40817666,0.56705481,0.18480101,0.32128572,0.28705278,0.12668072,08:01.4,11:01.0,41708.01,,,
0.43803713,0.50517386,0.22437936,0.25584865,0.29567787,0.10883428,16:01.3,19:00.9,41708.01,,,
0.46774063,0.5405162,0.22290364,0.26328531,0.35422772,0.13270156,24:01.3,27:01.4,41708.02,,,
0.44188786,0.65685588,0.20471343,0.150308,0.29509851,0.15226793,32:01.5,35:01.1,41708.02,,,
0.40292862,0.51284528,0.22948872,0.16449028,0.3004418,0.10894571,40:01.5,43:01.0,41708.03,,,
0.390901,0.58596671,0.24897428,0.16680257,0.30279294,0.14929265,48:01.2,51:01.8,41708.03,,,
0.38660598,0.78474998,0.19162799,0.14629179,0.26244563,0.10106593,56:01.1,59:00.9,41708.04,,,
0.61797071,0.39693835,0.45891631,0.18130094,0.35072029,0.16651207,00:01.5,03:01.3,41709,,,
0.58964849,0.62267387,0.41893381,0.23651721,0.355468,0.15906678,08:01.5,11:01.3,41709.01,,,
0.58321172,0.44312564,0.41330802,0.13945536,0.3113502,0.12431207,16:01.6,19:01.5,41709.01,,,
0.58759189,0.41481158,0.37527728,0.1351525,0.29069072,0.10766171,24:01.4,27:01.3,41709.02,,,
0.6113587,0.49247602,0.33098578,0.14720157,0.36101463,0.099037856,32:01.5,35:01.5,41709.02,,,
0.63709527,0.54506856,0.38686714,0.20059194,0.33677188,0.14456721,40:01.6,43:01.5,41709.03,,,
0.65297341,0.42331555,0.39062244,0.25565979,0.35839558,0.12820643,48:01.4,51:01.4,41709.03,,,
0.65388972,0.43434036,0.3928988,0.34372914,0.44296888,0.17276785,56:01.5,59:01.5,41709.04,,,
0.036767837,0.14148393,0.33737165,0.21260351,0.23743986,0.09870664,00:01.4,03:01.1,41711,,,
