PMF_factor_1,PMF_factor_2,PMF_factor_3,PMF_factor_4,PMF_factor_5,PMF_factor_6,PMF_total,time_start,time_end,time_start_num
1.8421113,3.7967913,2.0306556,0.53157973,1.6056215,0.81257617,10.61933565,00:01.6,03:01.3,41876.25
1.7091401,3.6841943,2.0876529,0.79323053,1.4607043,0.77941614,10.51433831,08:01.5,11:01.3,41876.26
1.6658158,3.9016142,1.8144171,0.94226843,1.5126987,0.8243621,10.66117632,16:01.6,19:01.4,41876.26
1.7558099,4.0478072,1.9303986,0.73989296,1.5691829,0.76066953,10.80376107,24:01.6,27:01.3,41876.27
1.9425313,4.1256371,1.9666057,0.045618858,1.8395157,0.98161691,10.90152552,32:01.4,35:01.7,41876.27
1.7530385,3.8214271,1.9150528,0.82618558,1.5302258,0.85540813,10.70133787,40:01.3,43:01.1,41876.28
1.7885042,3.9114115,2.0128229,0.34815443,1.5294843,1.1834836,10.77386093,48:01.3,51:01.1,41876.28
2.064527,4.2593884,2.1895502,0.11225402,1.82399,1.0349177,11.48462737,56:01.5,59:01.4,41876.29
1.9584671,4.3678927,2.1603916,0.51063126,1.6194485,1.0099367,11.62676793,04:01.4,07:01.3,41876.29
1.9512843,4.455543,1.99008,0.6695407,1.5847114,0.99627817,11.64743763,12:01.5,15:01.4,41876.30
1.8374714,4.1806631,2.0739987,0.82607621,1.3829095,0.89461488,11.19573379,20:01.3,23:01.3,41876.31
1.8994372,3.9296157,1.8407958,1.0108888,1.2928141,0.94410634,10.91765797,28:01.3,31:01.3,41876.31
1.9172443,3.8272402,2.010133,0.60127574,1.3641092,0.83728212,10.55728459,36:01.7,39:01.6,41876.32
1.9698071,3.4164371,2.0819356,0.77272588,1.073153,0.77686137,10.09092021,44:01.3,47:01.3,41876.32
1.9005985,3.6176698,1.8987899,0.45035115,1.2794371,0.78209245,9.928938895,52:01.4,55:01.4,41876.33
1.8534715,3.3888958,1.7884958,0.71950442,1.2320418,0.78338063,9.765789926,00:01.7,03:01.3,41876.33
1.9720514,3.6606941,1.7482071,2.65E-05,1.5204986,0.77428144,9.675759128,08:01.7,11:01.2,41876.34
1.8522013,3.2773216,1.8580028,0.20150284,0.95738,0.57247198,8.718880519,16:01.3,19:01.3,41876.34
1.7367629,3.040153,1.7992529,0.77188486,0.74496943,0.47045517,8.563478231,24:01.6,27:01.2,41876.35
1.869307,3.0342658,1.82964,0.46932659,0.67356616,0.47003928,8.346144855,32:01.6,35:01.7,41876.36
1.8865529,3.2536557,1.7023,0.20915529,0.67047286,0.40123659,8.1233733,40:01.5,43:01.2,41876.36
1.8246244,3.2066426,1.7352557,0.14991558,0.59123915,0.38529071,7.892968208,48:01.5,51:01.2,41876.37
1.8032054,3.0886056,1.7557725,0.4043645,0.53206402,0.303426,7.887437999,56:01.5,59:01.2,41876.37
1.5171429,2.6376071,1.7669228,0.97791231,0.30628371,0.31184071,7.517709553,04:01.5,07:01.2,41876.38
1.775018,2.9439516,1.8729115,0.008602914,0.54310089,0.35900351,7.502588358,12:01.5,15:01.2,41876.38
1.6276072,3.0791259,1.7435571,0.28441772,0.49095985,0.27179059,7.497458369,20:01.5,23:01.2,41876.39
1.5430971,2.8715105,1.9719535,0.069005176,0.51184982,0.3114273,7.278843448,28:01.4,31:01.2,41876.39
1.5452399,2.4493446,1.959535,0.62730664,0.31490257,0.230433,7.126761779,36:01.4,39:01.7,41876.40
1.5206447,2.5513535,2.0055275,0.42267883,0.39668533,0.2493791,7.146268874,44:01.7,47:01.5,41876.41
1.5426033,2.783267,2.2375298,0.42839566,0.40130922,0.31386751,7.70697242,52:01.3,55:01.2,41876.41
1.4204402,2.8253515,2.1668301,0.85738599,0.3496117,0.29747728,7.917096704,00:01.2,03:01.1,41876.42
1.4246641,2.5153098,2.3421044,1.1683954,0.42841363,0.39215243,8.271039844,08:01.8,11:01.7,41876.42
1.6073155,2.7999752,2.30479,0.79164356,0.56367373,0.46748033,8.534878343,16:01.3,19:01.2,41876.43
1.5793371,2.9192374,2.0209398,0.24358337,0.49351028,0.48079816,7.73740612,24:01.7,27:01.6,41876.43
1.3090576,2.5086331,2.4649391,1.2332675,0.17666064,0.29786032,7.99041836,32:01.2,35:01.2,41876.44
1.4637119,2.9648283,2.4435723,0.55094862,0.42586175,0.35595682,8.204879582,40:01.6,43:01.1,41876.44
1.6172295,3.1507423,2.8071322,0.13609435,0.56571954,0.40980226,8.686720148,48:01.7,51:01.2,41876.45
1.4745252,3.2649438,2.7138617,0.47993147,0.50268203,0.36137635,8.797320604,56:01.7,59:01.2,41876.46
1.4217889,3.2802067,2.5873585,0.55996865,0.45359823,0.28713128,8.590052247,04:01.6,07:01.1,41876.46
1.3729044,3.3193974,2.5102699,0.41258428,0.4037278,0.27801955,8.296903372,12:01.3,15:01.3,41876.47
1.3590997,3.4461949,2.7950523,0.45445877,0.59259999,0.36368072,9.011086404,20:01.7,23:01.2,41876.47
1.4611386,3.8601027,2.8536227,0.60168672,0.62882888,0.45962331,9.865002841,28:01.3,31:01.4,41876.48
1.3684762,3.7919886,2.8666856,1.0729164,0.54775631,0.41943517,10.06725827,36:01.2,39:01.4,41876.48
1.4332191,3.3796172,2.6396444,0.28516921,0.52813762,0.50241894,8.768206447,44:01.2,47:01.5,41876.49
1.493138,3.6776223,2.8320162,1.09E-05,0.72419322,0.34938332,9.076363905,52:01.5,55:01.6,41876.49
1.4325966,3.3186142,2.8461215,0.16978437,0.61505568,0.20697263,8.589145035,00:01.6,03:01.4,41876.50
1.3697569,3.1272135,2.6216724,0.19746146,0.463072,0.12415218,7.903328449,08:01.4,11:01.3,41876.51
1.1781991,2.9016786,3.1160419,0.77696174,0.44828564,0.09136609,8.512532987,16:01.5,19:01.4,41876.51
1.5055429,3.8478057,2.8301613,0.085979573,0.80037057,0.19783972,9.267699815,24:01.0,27:01.2,41876.52
1.4106679,3.6343858,2.637383,0.41128826,0.53236431,0.10986552,8.735954791,32:01.3,35:01.4,41876.52
1.3498325,3.5436199,2.4808335,0.14863048,0.59367222,0.14566928,8.262257919,40:01.3,43:01.5,41876.53
1.3263471,3.2499726,2.5467365,0.163252,0.56511247,0.13297282,7.984393463,48:01.3,51:01.4,41876.53
1.3041779,3.0361586,2.2478812,0.34533578,0.40422073,0.10777964,7.445553765,56:01.2,59:01.4,41876.54
