"","Compound.Name","Rownum","sum_rawvol","sum_ISrawnormvol","sum_ISnormnormvol","n_occur","cumsum_raw","cumsum_ISrawnorm","num_pct","cumsum_ISnormnorm","raw_cumsum","ISrawnorm_cumsum"
"367","1202_0046_blob_1040",367,24931.7960891336,0.0308570163565351,1303.8878161149,49,0.000270807075482617,9.26373909714336e-05,0.276981132075472,0.000205905875812266,0.932064450793378,0.932743311318948
"368","1206_0924_blob_56",368,24745.2755596328,0.356323993129037,5114.11846729134,28,0.000268781105154167,0.00106973806808143,0.277735849056604,0.000807605553944772,0.932333231898532,0.93381304938703
"369","1128_1901_blob_1109",369,24497.3568802073,0.0203626637611248,321.526055578053,33,0.000266088233277118,6.11317705595232e-05,0.278490566037736,5.07743866090614e-05,0.932599320131809,0.933874181157589
"370","1213_2145_blob_683",370,24350.8068494522,0.089261319040426,2201.57134998749,34,0.000264496419149535,0.000267975866980495,0.279245283018868,0.000347665244954188,0.932863816550959,0.93414215702457
"371","1221_0832_blob_649",371,24345.1165391929,0.0341312975334831,1452.02726158522,59,0.000264434611477341,0.000102467274134298,0.28,0.000229299592576026,0.933128251162436,0.934244624298704
"372","1202_0046_blob_1246",372,24282.2720912769,0.0129538700696007,450.261095738096,42,0.000263752000361415,3.88894607425844e-05,0.280754716981132,7.11038205252881e-05,0.933392003162798,0.934283513759447
"373","1221_0832_blob_873",373,24195.8953783311,0.0644909430745386,2007.96628461587,42,0.000262813783758847,0.000193611483323054,0.281509433962264,0.000317091740044989,0.933654816946556,0.93447712524277
"374","1202_1412_blob_1193",374,24094.6366263659,0.017135505728312,477.812865557463,22,0.000261713919698163,5.14433581427807e-05,0.282264150943396,7.54547096314832e-05,0.933916530866255,0.934528568600913
"375","1213_2145_blob_1033",375,24072.4761911432,0.0964972189689838,1407.30233426747,84,0.000261473214911689,0.000289699123790774,0.283018867924528,0.000222236772281072,0.934178004081166,0.934818267724703
"376","1128_1901_blob_797",376,23879.2095589214,0.0899542668873475,1311.95996433107,87,0.000259373968981983,0.000270056200343785,0.28377358490566,0.000207180604149778,0.934437378050148,0.935088323925047
