,Compound.Name,cluster_vol.z1,cluster_vol.z2,cluster_vol.z3,cluster_vol.z4,cluster_vol.z5,cluster_vol.z6,bbvol,anthrovol,cluster,Assigned_cluster,bb_vs_a
151,1128_1901_blob_1664,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
167,1128_1901_blob_23,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
168,1128_1901_blob_34,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
169,1128_1901_blob_37,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
172,1128_1901_blob_609,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
174,1128_1901_blob_624,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
177,1128_1901_blob_648,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
182,1128_1901_blob_687,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
184,1128_1901_blob_702,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
187,1128_1901_blob_720,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
188,1128_1901_blob_725,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
189,1128_1901_blob_726,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
190,1128_1901_blob_729,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
194,1128_1901_blob_740,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
199,1128_1901_blob_760,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
202,1128_1901_blob_779,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
205,1128_1901_blob_786,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
207,1128_1901_blob_792,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
210,1128_1901_blob_801,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
214,1128_1901_blob_814,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
215,1128_1901_blob_818,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
216,1128_1901_blob_819,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
220,1128_1901_blob_836,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
223,1128_1901_blob_845,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
229,1128_1901_blob_869,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
231,1128_1901_blob_871,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
234,1128_1901_blob_880,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
235,1128_1901_blob_883,0.600221503,-0.014870349,0.131611969,-0.021162423,0.016547806,0.00060559,-0.082486744,-0.024532912,NA,,-0.057953832
