BlobID,Compound.Name,Library Name,Library Match Factor,Library Reverse Match Factor,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain,Benzothiazole,Thiol,Library.Reverse.Match.Factor_chamber,Library.RI_chamber
680,20200803_1535_blob_680_oil,caice_ssa_final_0803_1535,999,999,,,,2246.666667,,"1-Dodecanol, 2-octyl-",808,828,,C20H42O,298,,,,
704,20200803_1535_blob_704_,caice_ssa_final_0803_1535,999,999,,,,2326.666667,,7H-Benzanthrene,808,903,,C17H12,216,,,,
934,20200803_1535_blob_934_,caice_ssa_final_0803_1535,999,999,,,,2041.221374,,"2,6-Dimethyldibenzothiophene",808,903,,C14H12S,212,,,,
1064,20200803_1535_blob_1064_,caice_ssa_final_0803_1535,999,999,,,,1830.555556,,"Heptadecane, 2,6-dimethyl-",808,859,,C19H40,268,,,,
719,20200803_1535_blob_719_oil,caice_ssa_final_0803_1535,999,999,,,,2211.666667,,"1-Dodecanol, 2-octyl-",807,832,,C20H42O,298,,,,
30,20200803_1535_blob_30_,caice_ssa_final_0803_1535,999,999,,,,1745.56962,,"Phthalimide, N-(1-hydroxy-2-propyl)-",805,853,,C11H11NO3,205,,,,
644,20200803_1535_blob_644_oil,caice_ssa_final_0803_1535,999,999,,,,2296.666667,,"Ethanol, 2-(octadecyloxy)-",804,816,,C20H42O2,314,,,,
774,20200803_1535_blob_774_,caice_ssa_final_0803_1535,999,999,,,,1407.909605,,"Hexasiloxane, tetradecamethyl-",804,892,1353,C14H42O5Si6,458,,,,
1,20200803_1535_blob_1_,caice_ssa_final_0803_1535,999,999,,,,1660.759494,,"Cyclooctasiloxane, hexadecamethyl-",803,845,1704,C16H48O8Si8,592,,,,
640,20200803_1535_blob_640_oil,caice_ssa_final_0803_1535,999,999,,,,2470.27027,,17-Pentatriacontene,803,803,,C35H70,490,,,,
781,20200803_1535_blob_781_,caice_ssa_final_0803_1535,999,999,,,,2790.291262,,"1,4-Benzenedicarboxylic acid, bis(2-ethylhexyl) ester",802,843,,C24H38O4,390,,,,
845,20200803_1535_blob_845_oil,caice_ssa_final_0803_1535,999,999,,,,2671.84466,,"Tricyclo[20.8.0.0(7,16)]triacontane, 1(22),7(16)-diepoxy-",802,839,,C30H52O2,444,,,,
650,20200803_1535_blob_650_oil,caice_ssa_final_0803_1535,999,999,,,,2488.288288,,17-Pentatriacontene,801,802,,C35H70,490,,,,
925,20200803_1535_blob_925_,caice_ssa_final_0803_1535,999,999,,,,2119.083969,,{4-Methoxy-2-[(trimethylsilyl)oxy]phenyl}(phenyl)methanone,801,823,,C17H20O3Si,300,,,,
1005,20200803_1535_blob_1005_,caice_ssa_final_0803_1535,999,999,,,,2644.660194,,"Benz[a]anthracene, 7-methyl-",801,868,2669,C19H14,242,,,,
649,20200803_1535_blob_649_oil,caice_ssa_final_0803_1535,999,999,,,,2493.693694,,17-Pentatriacontene,800,801,,C35H70,490,,,,
788,20200803_1535_blob_788_,caice_ssa_final_0803_1535,999,999,,,,1951.388889,,"Ethanol, 2-(9-octadecenyloxy)-, (Z)-",800,809,,C20H40O2,312,,,,
725,20200803_1535_blob_725_oil,caice_ssa_final_0803_1535,999,999,,,,2231.666667,,17-Pentatriacontene,799,799,,C35H70,490,,,,
