Compound.Name,Kovats (d-alkane),Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Library.Molecular.Weight_NISTmain
20200803_1535_blob_714_,2221.666667,"Phenanthrene, 2,3,5-trimethyl-",829,872,,C17H16,220
20200803_1535_blob_758_,2067.175573,"Phenanthrene, 1,7-dimethyl-",829,901,2051,C16H14,206
20200803_1535_blob_521_oil,2414.414414,17-Pentatriacontene,828,828,,C35H70,490
20200803_1535_blob_757_,2215,"Phenanthrene, 2,3,5-trimethyl-",828,872,,C17H16,220
20200803_1535_blob_451_,2847.42268,"Decanedioic acid, bis(2-ethylhexyl) ester",827,915,2778,C26H50O4,426
20200803_1535_blob_516_oil,2358.333333,17-Pentatriacontene,824,824,,C35H70,490
20200803_1535_blob_713_oil,2220,"Cyclohexane, (1-hexyltetradecyl)-",824,834,,C26H52,364
20200803_1535_blob_637_oil,2335,17-Pentatriacontene,823,823,,C35H70,490
20200803_1535_blob_1022_,1665.822785,"4-tert-Octylphenol, TMS derivative",823,934,1631,C17H30OSi,278
20200803_1535_blob_579_oil,2457.657658,17-Pentatriacontene,822,822,,C35H70,490
20200803_1535_blob_639_oil,2331.666667,17-Pentatriacontene,821,822,,C35H70,490
20200803_1535_blob_648_oil,2306.666667,17-Pentatriacontene,821,821,,C35H70,490
20200803_1535_blob_853_,2108.396947,"Heneicosane, 11-(1-ethylpropyl)-",821,829,,C26H54,366
20200803_1535_blob_551_oil,2450.45045,17-Pentatriacontene,820,820,,C35H70,490
20200803_1535_blob_661_oil,2290,17-Pentatriacontene,820,820,,C35H70,490
20200803_1535_blob_1012_,2851.546392,"Eicosane, 7-hexyl-",820,834,,C26H54,366
20200803_0949_blob_1315_,1309.032713,"Formamide, N,N-dibutyl-",819,838,1310,C9H19NO,157
20200803_1535_blob_453_,1659.493671,"Cyclooctasiloxane, hexadecamethyl-",818,867,1704,C16H48O8Si8,592
20200803_1535_blob_469_oil,2376.666667,"Heneicosane, 11-(1-ethylpropyl)-",818,823,,C26H54,366
20200803_1535_blob_623_oil,2464.864865,17-Pentatriacontene,817,817,,C35H70,490
20200803_0949_blob_1249_,1278.126131,"Silanol, trimethyl-, phosphate (3:1)",817,836,1286,C9H27O4PSi3,314
20200803_0949_blob_1827_,1497.727273,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,,C10H9NO2,175
20200803_1535_blob_556_,2015.267176,"9,10-Anthracenedione",816,904,1950,C14H8O2,208
20200803_1535_blob_807_,2094.656489,"Anthracene, 1,4-dimethyl-",816,868,,C16H14,206
20200803_1535_blob_866_,1777.21519,"Octanal, 2-(phenylmethylene)-",816,831,1750,C15H20O,216
