Column1,Formula,C,H,N,O,S,P,ExactMass,0724.csv,0726.csv,0730.csv,0802.csv,0806.csv,0809.csv,0812.csv,Replication,Latter TPs common,Column2,N/C,O/C,H/C,DBE,DBE/C,NOSC,AI-mod,Column3,Spearmans',ChlA,î(280 nm) L/mg*cm,î(350 nm) L/mg*cm,Slope 350-400,Slope 275-295,SR (Smaller:Larger),E2:E3 (A 250:365 nm),Column4,Column5,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,Column6
2764,C21H40N2O18,21,40,2,18,0,0,607.2203344,NA,NA,NA,1598.3,706.7,NA,415.8,4,1,,0.095238095,0.857142857,1.904761905,3,,0.095238095,-0.7,,,0.998463811,-0.991370924,-0.952200665,0.619953401,0.999033462,0.348157457,0.898475195,,,0,0,0,0,0,6,6
2790,C21H42N2O18,21,42,2,18,0,0,609.2359844,2216.7,NA,465.7,NA,436.7,531,NA,3,1,,0.095238095,0.857142857,2,2,,0,-0.8,,,-0.664419386,-0.693168591,-0.658906945,0.797725848,0.80489083,-0.059488968,0.771640113,,,0,0,0,0,0,0,0
3146,C22H42N2O19,22,42,2,19,0,0,637.230899,1698.6,NA,1584,NA,NA,NA,1493.2,4,2,,0.090909091,0.863636364,1.909090909,3,,0.090909091,-0.714285714,,,-0.977894047,-0.909647624,-0.90545574,0.897468593,0.967176059,0.666498071,0.975378492,,,0,0,0,0,0,6,6
4221,C25H48N2O19,25,48,2,19,0,0,679.277849,2514.2,NA,NA,NA,NA,225.3,642.3,4,1,,0.08,0.76,1.92,3,,-0.16,-0.555555556,,,-0.783096751,-0.872427388,-0.888531514,0.961736628,0.95404795,0.93969867,0.968372314,,,0,0,0,0,0,6,6
4522,C26H46N2O21,26,46,2,21,0,0,721.2520282,NA,NA,629.5,NA,181.7,290,NA,4,1,,0.076923077,0.807692308,1.769230769,5,,0.076923077,-0.481481481,,,-0.951701744,-0.995643486,-0.981068663,0.620713921,0.966251392,0.170458115,0.995243933,,,0,0,0,0,0,6,6
5247,C29H10N2O2,29,10,2,2,0,0,417.0669508,4345,NA,NA,NA,NA,3353.2,2559.8,4,1,,0.068965517,0.068965517,0.344827586,26,,0,0.923076923,,,-0.265027326,-0.992718772,-0.988052281,0.938037585,0.946988494,0.960403517,0.928952296,,,1,0,0,0,0,0,1
5528,C29H50N2O20,29,50,2,20,0,0,745.2884136,2287.2,NA,NA,832.7,192,NA,NA,4,2,,0.068965517,0.689655172,1.724137931,6,,-0.137931034,-0.294117647,,,-0.434388899,-0.83023321,-0.824841745,0.832039569,0.883980737,-0.64034925,0.908189177,,,0,0,0,0,0,6,6
5590,C30H10N2O3,30,10,2,3,0,0,445.0618654,3957.8,NA,NA,NA,320.4,1577,968.6,3,0,,0.066666667,0.1,0.333333333,27,,0.066666667,0.924528302,,,-0.656021586,-0.96665281,-0.992894847,0.920671246,0.929036029,0.036663793,0.992442707,,,1,0,0,0,0,0,1
5920,C31H10N2O3,31,10,2,3,0,0,457.0618654,NA,NA,3517.1,4300.7,830,6151.8,NA,3,1,,0.064516129,0.096774194,0.322580645,28,,0.064516129,0.927272727,,,0.192818945,-0.367008335,-0.446403108,0.78381537,0.10878551,-0.913956169,0.37142483,,,1,0,0,0,0,0,1
6240,C32H12N2O4,32,12,2,4,0,0,487.07243,3357.5,NA,416.6,NA,NA,1911.4,NA,4,2,,0.0625,0.125,0.375,28,,0.0625,0.892857143,,,-0.138919302,-0.241892008,-0.215096943,0.910000914,0.376889121,-0.300854849,0.388218091,,,1,0,0,0,0,0,1
7666,C37H16N2O6,37,16,2,6,0,0,583.0935592,2773.8,NA,NA,694.8,NA,858.7,NA,4,2,,0.054054054,0.162162162,0.432432432,31,,0.054054054,0.84375,,,-0.7466975,-0.617841448,-0.630909508,0.752192592,0.648112626,0.521758838,0.764475826,,,1,0,0,0,0,0,1
7673,C37H18N2O6,37,18,2,6,0,0,585.1092092,3654.7,NA,NA,1579.8,NA,2767.1,1361.4,3,1,,0.054054054,0.162162162,0.486486486,30,,0,0.8125,,,-0.475295603,-0.54414161,-0.54334959,0.57468135,0.502993439,0.429521908,0.576842072,,,1,0,0,0,0,0,1
7927,C38H18N2O6,38,18,2,6,0,0,597.1092092,3554.8,858.5,NA,NA,NA,2345.4,NA,4,2,,0.052631579,0.157894737,0.473684211,31,,0,0.818181818,,,0.016123101,-0.069431192,-0.095958499,0.734114821,0.172505338,-0.326821216,0.38218504,,,1,0,0,0,0,0,1
7941,C38H22N2O3,38,22,2,3,0,0,553.1557654,23739.3,NA,15829.4,NA,NA,NA,13744.2,4,2,,0.052631579,0.078947368,0.578947368,29,,-0.263157895,0.768115942,,,-0.998890899,-0.773710558,-0.767347669,0.980256416,0.870449211,0.454440304,0.886938017,,,1,0,0,0,0,0,1
