"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat","Formula","Mass","inverse_slope"
"119","C16",2018-11-27,0.00252620051033109,0.726481488552966,39.82982895,0.488842865,1626,1626.829268,"Alkane",NA,NA,395.851396557963
"120","C14",2018-11-27,0.0312223669682456,0.945023110832008,32.82374631,0.468890095,1422,1422.95082,"Alkane",NA,NA,32.0283212677963
"121","9H-Florenone",2018-11-27,0.000335959166654313,0.999748044743542,44.55131942,1.386717515,1778,1778.04878,"Ketone",NA,NA,2976.55221007544
"122","4-terpineol",2018-11-27,0.00900549348226971,0.92710542901792,23.87576033,0.77815803,1206,1206.678663,"Alcohol",NA,NA,111.043331714007
"123","4-nitrocatechol",2018-11-27,0.000412163878351491,0.955223268441272,44.28478367,1.566292445,1769,1769.512195,"Cat",NA,NA,2426.21940573649
"124","4-hydroxybenzoic acid",2018-11-27,0.000681477548485661,0.99226184355792,40.59135967,0.887898265,1651,1651.219512,"Acid",NA,NA,1467.39977306977
"125","4, 4 dimethoxy-benzophenone",2018-11-27,0.000274145012910041,0.954681251882133,58.25887241,1.446575825,2293,2293.548387,"Ketone",NA,NA,3647.7045100512
"126","3-5-dimethoxyphenol",2018-11-27,0.000911399651839047,0.969396052871169,36.4029407,0.87792188,1525,1525.68306,"Alcohol",NA,NA,1097.21349792286
"127","2-Ketoglutaric acid, tri-TMS",2018-11-27,0.0325366582239519,0.634294479445158,39.90598202,0.7981108,1629,1629.268293,"Acid",NA,NA,30.734563860767
"128","16-OH C16 Acid, TMS",2018-11-27,0.000235490359093551,0.963742584950842,61.4192249,0.688370565,2429,2429.824561,"Acid",NA,NA,4246.45834270753
"129","12-OH C18 Acid, TMS",2018-11-27,0.000359987801083246,0.982341629990184,62.29498523,0.69834695,2470,2470.175439,"Acid",NA,NA,2777.87190841157
"130","xanthone",2018-12-01,0.000414390598153501,0.967199543445643,48.24474342,1.37674113,1906,1906.040268,"Ketone",NA,NA,2413.18216305085
"131","verbenone (-)",2018-12-01,0.0360409516506888,0.970295016268352,25.09420948,2.065111695,1237,1237.171543,"Ketone",NA,NA,27.7462151857715
"132","vanillin",2018-12-01,0.00137547460350613,0.989394445857246,37.54523678,1.33683559,1558,1558.469945,"Aldehyde",NA,NA,727.021783936224
"133","vanillic acid",2018-12-01,0.000243598259426823,0.995410468571486,44.89400825,0.87792188,1789,1789.02439,"Acid",NA,NA,4105.11964392915
"134","tridecanal",2018-12-01,0.0057427038406136,0.99535868225829,36.8217826,0.927803805,1537,1537.704918,"Aldehyde",NA,NA,174.134001640097
"135","triacetin",2018-12-01,0.00830000815106708,0.935834065848857,30.386848,2.11499362,1362,1362.952186,"Misc",NA,NA,120.481809390927
"136","threitol",2018-12-01,0.00151309766564851,0.95432610835739,36.25063456,0.528748405,1521,1521.311475,"Alcohol",NA,NA,660.895871233404
"137","syringol",2018-12-01,0.00345909129223164,0.998201950347835,32.67144016,0.81806357,1418,1418.579235,"Alcohol",NA,NA,289.093266270763
"138","syringic acid",2018-12-01,0.000248487007243167,0.995192025531075,48.77781493,0.87792188,1924,1924.832215,"Acid",NA,NA,4024.35528156774
"139","syringaldehyde",2018-12-01,0.000293435871062592,0.999113627677667,42.95210491,1.326859205,1726,1726.829268,"Aldehyde",NA,NA,3407.89964219028
"140","stigmasterol",2018-12-01,0.000719504290482885,0.968774126536049,78.85827843,0.85796911,3344,3344.827586,"Misc",NA,NA,1389.84577747113
"141","squalene",2018-12-01,0.000482978490547188,0.902392305469502,70.44336395,0.5985831,2868,2868.686869,"Misc",NA,NA,2070.48557973473
"142","sinapinaldehyde",2018-12-01,0.000397654863566725,0.992652220789614,51.74778474,1.53636329,2032,2032.592593,"Aldehyde",NA,NA,2514.74354175025
"143","retene",2018-12-01,0.000189396391330802,0.991302906698357,57.64964783,1.047520425,2267,2267.741935,"PAH",NA,NA,5279.93164480832
"144","resorcinol",2018-12-01,0.00208946591818384,0.971569499403941,31.98606251,0.728276105,1399,1399.138423,"Cat",NA,NA,478.591199453111
"145","quinoline",2018-12-01,0.00206892042077342,0.969558109170934,26.73150054,1.09740235,1278,1278.146352,"PAH",NA,NA,483.343868598953
"146","pyrocatechol",2018-12-01,0.00422618686080582,0.929923510827074,29.35878153,0.67839418,1339,1339.689606,"Cat",NA,NA,236.61992073141
"147","pyrene",2018-12-01,0.000201253388439124,0.994821340418827,55.32697913,1.21711897,2171,2171.851852,"PAH",NA,NA,4968.86043885161
"148","pinonic acid",2018-12-01,0.00293044453977679,0.964169895467722,37.27870103,1.466528595,1550,1550.819672,"Acid",NA,NA,341.245154592201
"149","pinic acid 2",2018-12-01,0.00139148532139637,0.987593437670683,42.03826804,0.97768573,1697,1697.560976,"Acid",NA,NA,718.656520930089
"150","pinic acid 1",2018-12-01,0.000984376081495271,0.996479547848171,41.8859619,0.967709345,1692,1692.682927,"Acid",NA,NA,1015.8718997733
"151","phthalimide",2018-12-01,0.00156294907874349,0.997724574429824,38.76368594,1.13730789,1593,1593.442623,"Amide",NA,NA,639.816110198508
