"","cpnd","dates","slope","r2","RT1","RT2","Retention_index","d_alkane_RTI","Func_group_cat"
"97","C10 diacid (sebacic acid)",2020-11-27,0.998484389928174,0.966491301805778,48.70166185,0.93778019,1922,1922.147651,"Acid"
"98","C35",2020-11-27,0.967620104465268,0.956251038872986,82.6278555,0.71829972,3564,3564.835165,"Alkane"
"99","C33",2020-11-27,1.27558523103106,0.955621361332502,79.16289072,0.63848864,3363,3363.218391,"Alkane"
"100","C32",2020-11-27,1.2426938872593,0.941624112973514,77.44944659,0.628512255,3259,3259.770115,"Alkane"
"101","C31",2020-11-27,1.47017980055412,0.942830431947676,75.73600247,0.61853587,3159,3159.139785,"Alkane"
"102","C30",2020-11-27,1.36759886646556,0.934793290002362,73.94640527,0.5985831,3058,3058.064516,"Alkane"
"103","C29",2020-11-27,1.48795935057975,0.944952351623224,72.08065501,0.588606715,2955,2955.555556,"Alkane"
"104","C28",2020-11-27,1.70083252217067,0.96484935316836,70.13875167,0.57863033,2852,2852.525253,"Alkane"
"105","C27",2020-11-27,2.61119310672805,0.951802238025447,68.15877179,0.568653945,2750,2750.943396,"Alkane"
"106","C26",2020-11-27,5.794073766545,0.97453042042183,66.10263884,0.568653945,2649,2649.056604,"Alkane"
"107","C25",2020-11-27,5.2892816979491,0.97578068185307,63.93227628,0.55867756,2545,2545.614035,"Alkane"
"108","C24",2020-11-27,6.38238544740975,0.993221312269762,61.72383719,0.548701175,2443,2443.859649,"Alkane"
"109","C23",2020-11-27,7.47364281343506,0.99601339844754,59.40116849,0.548701175,2341,2341.935484,"Alkane"
"110","C22",2020-11-27,8.45140345843113,0.997382758398111,56.96427018,0.53872479,2238,2238.709677,"Alkane"
"111","C21",2020-11-27,10.1852024408043,0.997989058850331,54.4512188,0.51877202,2137,2137.777778,"Alkane"
"112","C20",2020-11-27,10.7169314839433,0.996849445361486,51.78586128,0.51877202,2034,2034.074074,"Alkane"
"113","C19",2020-11-27,10.0460205174574,0.992603969704137,49.04435068,0.508795635,1934,1934.228188,"Alkane"
"114","C18",2020-11-27,16.8131992161348,0.959561694211494,46.1124574,0.49881925,1830,1830.872483,"Alkane"
"115","C17",2020-11-27,30.0668475879221,0.888602030147268,43.06633451,0.488842865,1730,1730.487805,"Alkane"
"116","C16",2020-11-27,59.7595279182949,0.674982420943381,39.82982895,0.488842865,1626,1626.829268,"Alkane"
"117","C14",2020-11-27,177.830864359336,0.643060134272862,32.82374631,0.468890095,1422,1422.95082,"Alkane"
"118","9H-Florenone",2020-11-27,0.138528628454363,0.998240241595423,44.55131942,1.386717515,1778,1778.04878,"Ketone"
"119","4-terpineol (?)",2020-11-27,1.45196512591224,0.922304440270421,23.87576033,0.77815803,1206,1206.678663,"Alcohol"
"120","4-nitrocatechol",2020-11-27,0.0469190578680423,0.954986778442585,44.28478367,1.566292445,1769,1769.512195,"Cat"
"121","4-hydroxybenzoic acid",2020-11-27,1.68039802053923,0.993774965016867,40.59135967,0.887898265,1651,1651.219512,"Acid"
"122","4, 4 dimethoxy-benzophenone",2020-11-27,0.123963621405159,0.941142172537101,58.25887241,1.446575825,2293,2293.548387,"Ketone"
"123","3-5-dimethoxyphenol",2020-11-27,1.85730690697256,0.941482952866878,36.4029407,0.87792188,1525,1525.68306,"Alcohol"
"124","2-Ketoglutaric acid, tri-TMS",2020-11-27,94.9554250333259,0.603433664127769,39.90598202,0.7981108,1629,1629.268293,"Acid"
"125","16-OH C16 Acid, TMS",2020-11-27,2.06162716168124,0.947966466059583,61.4192249,0.688370565,2429,2429.824561,"Acid"
"126","12-OH C18 Acid, TMS",2020-11-27,3.2684754422888,0.977875217621997,62.29498523,0.69834695,2470,2470.175439,"Acid"
"127","xanthone",2020-12-01,0.207439003883175,0.986226595636046,48.24474342,1.37674113,1906,1906.040268,"Ketone"
"128","verbenone (-)",2020-12-01,0.0050057278621179,0.977415011414433,25.09420948,2.065111695,1237,1237.171543,"Ketone"
"129","vanillin",2020-12-01,0.552778729687204,0.946308147011239,37.54523678,1.33683559,1558,1558.469945,"Aldehyde"
"130","vanillic acid",2020-12-01,0.587590480146622,0.996786721037984,44.89400825,0.87792188,1789,1789.02439,"Acid"
"131","tridecanal (?)",2020-12-01,11.7707902580893,0.998913377249455,36.8217826,0.927803805,1537,1537.704918,"Aldehyde"
"132","threitol",2020-12-01,19.2351820528345,0.968571843154948,36.25063456,0.528748405,1521,1521.311475,"Alcohol"
"133","syringic acid",2020-12-01,0.76729851638097,0.95915792124715,48.77781493,0.87792188,1924,1924.832215,"Acid"
"134","syringaldehyde",2020-12-01,0.135865015278397,0.995327315216303,42.95210491,1.326859205,1726,1726.829268,"Aldehyde"
"135","stigmasterol",2020-12-01,0.284484500605763,0.977554278581225,78.85827843,0.85796911,3344,3344.827586,"Misc"
"136","squalene",2020-12-01,2.81982840687949,0.919933594399095,70.44336395,0.5985831,2868,2868.686869,"Misc"
"137","sinapinaldehyde",2020-12-01,0.0827653416939319,0.997029864755467,51.74778474,1.53636329,2032,2032.592593,"Aldehyde"
"138","retene",2020-12-01,1.07300282740015,0.998961814813993,57.64964783,1.047520425,2267,2267.741935,"PAH"
"139","quinoline",2020-12-01,0.517670086874352,0.896339328784773,26.73150054,1.09740235,1278,1278.146352,"PAH"
"140","pyrocatechol",2020-12-01,5.45335760147602,0.945219502008697,29.35878153,0.67839418,1339,1339.689606,"Cat"
"141","pyrene",2020-12-01,0.429667417448769,0.999052018109905,55.32697913,1.21711897,2171,2171.851852,"PAH"
"142","pinonic acid",2020-12-01,0.384182341683721,0.89148340715167,37.27870103,1.466528595,1550,1550.819672,"Acid"
"143","pinic acid 2",2020-12-01,4.39502508208394,0.999618227201037,42.03826804,0.97768573,1697,1697.560976,"Acid"
"144","pinic acid 1",2020-12-01,2.95709015280792,0.995551226333351,41.8859619,0.967709345,1692,1692.682927,"Acid"
"145","phthalimide",2020-12-01,3.02330988062814,0.970421935719362,38.76368594,1.13730789,1593,1593.442623,"Amide"
"146","phthalic acid",2020-12-01,1.13138904622356,0.983246417643828,42.57133954,1.107378735,1714,1714.634146,"Acid"
"147","perylene",2020-12-01,0.0188355088420684,0.954862547317824,72.30911422,1.45655221,2967,2967.676768,"PAH"
"148","pentadecanone",2020-12-01,1.89882543990907,0.98469816568551,42.95210491,0.947756575,1726,1726.829268,"Ketone"
"149","palmitoleic Acid",2020-12-01,4.8545001011615,0.997376225070815,52.35700932,0.708323335,2056,2056.296296,"Acid"
"150","p-anisic acid (4-methozybenzoic acid)",2020-12-01,3.85627673334607,0.839831873888354,37.05024181,0.967709345,1544,1544.262295,"Acid"
"151","octadecanone",2020-12-01,1.43912507365609,0.99808599859668,51.7097082,0.847992725,2031,2031.111111,"Ketone"
"152","octadecanol",2020-12-01,3.33635831120536,0.992208617083155,55.8219741,0.548701175,2191,2191.111111,"Alcohol"
"153","octadecanal (?)",2020-12-01,4.41399774926337,0.959258023838693,52.35700932,0.867945495,2056,2056.296296,"Aldehyde"
"154","nonanol",2020-12-01,19.8340123039767,0.993168275676892,28.40686812,0.508795635,1318,1318.150179,"Alcohol"
"155","monostearin TMS",2020-12-01,12.4500102986837,0.963088959067447,68.92030251,0.708323335,2788,2788.679245,"Alcohol"
"156","monopalmitin",2020-12-01,1.57763454604721,0.984538397526978,65.68379694,0.748228875,2628,2628.301887,"Alcohol"
"157","mannosan",2020-12-01,11.6908095072583,0.940058759839345,42.30480379,0.85796911,1706,1706.097561,"Sugar"
"158","maltol",2020-12-01,9.52706195499517,0.957833481212398,28.33071505,1.09740235,1316,1316.427025,"Alcohol"
"159","lupeol",2020-12-01,0.277529028792196,0.986583098459127,81.21902366,1.03754404,3483,3483.516484,"Misc"
"160","linoleic Acid, TMS",2020-12-01,4.25118428754924,0.967089530121318,57.11657633,0.69834695,2245,2245.16129,"Acid"
"161","levoglucosan",2020-12-01,4.00254654031387,0.982592883259313,42.95210491,0.847992725,1726,1726.829268,"Sugar"
"162","ketopinic acid",2020-12-01,1.23235827159313,0.975705872224032,36.55524684,1.326859205,1530,1530.054645,"Acid"
"163","isopimaric acid",2020-12-01,1.05631140634224,0.998241226266295,60.42923497,0.867945495,2385,2385.483871,"Acid"
"164","isoeugenol",2020-12-01,23.0981216025877,0.968050408003115,38.68753286,0.77815803,1591,1591.256831,"Alcohol"
"165","hydroquinone",2020-12-01,4.04114831422329,0.988261215810124,32.74759324,0.728276105,1420,1420.765027,"Benz"
"166","homosalate, TMS",2020-12-01,1.35672184783673,0.912862540464169,52.31893278,0.927803805,2054,2054.814815,"Misc"
"167","hexadecanol, TMS",2020-12-01,6.73826637142329,0.994642522013681,50.60548866,0.528748405,1989,1989.261745,"Alcohol"
"168","hexadecanamide",2020-12-01,1.43549378656794,0.946942067053656,56.35504561,1.227095355,2212,2212.903226,"Amide"
"169","glyceric acid (?)",2020-12-01,19.6160394056283,0.906645096548466,29.92992957,0.688370565,1352,1352.613262,"Acid"
