Compound Name,BlobID,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Quantifier_1,Quantifier_2,Quantifier_Response_1,Quantifier_Response_2,Volume_Ratio,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,H_Cat
"beta-caryophyllonic acid, TMS",91,"beta-caryophyllonic acid, TMS",,,TRUE,1931.543624,1932,17,amze_unnamedsesq_1,0,999,999,92.08000183,,0,48.96819761,1.326859205,,,0,0,0,0,1,2,4,8,16,Sesq
"beta-caryophyllinic acid, TMS",109,"beta-caryophyllinic acid, TMS",,,TRUE,2060.740741,2061,16,amze_unnamedsesq_1,0,999,999,97.5,,0,52.47123893,0.927803805,,,0,0,0,0,1,2,4,8,16,Sesq
beta-caryophyllene aldehyde,357,beta-caryophyllene aldehyde,,,TRUE,1715.853659,1716,13,amze_unnamedsesq_1,0,999,999,96.08000183,,0,42.60941608,1.965347845,,,0,0,0,0,3,6,12,24,48,Sesq
benzophenone,42,benzophenone,,,TRUE,1664.634146,1665,37,amze_unnamedsesq_1,0,999,999,91.12999725,,0,41.01020157,1.17721343,,,0,0,0,0,2,4,10,20,40,Sesq
anthraquinone,119,anthraquinone,,,TRUE,2017.777778,2018,36,amze_unnamedsesq_1,0,999,999,97.90000153,,0,51.36701938,1.446575825,,,0,0,0,0,0.5,1,2.5,5,10,
abietic acid,44,abietic acid,,,TRUE,2468.421053,2468,35,amze_unnamedsesq_1,0,999,999,95.95999908,,0,62.2569087,0.83801634,,,0,0,0,0,2,4,10,20,40,
a-Amyrin,74,a-Amyrin,,,TRUE,3479.120879,3479,34,amze_unnamedsesq_1,0,999,999,96.33000183,,0,81.14287059,1.05749681,,,0,0,0,0,2,4,10,20,40,
Humulene,783,SESQ9,amze,,TRUE,1490,1490,133,amze_unnamedsesq_1,0,999,999,98.06999969,,0,35.2078327,0.677576316,,,0,0,0,0,2,4,10,20,40,Sesq
Longifolene,716,SESQ8,amze,,TRUE,1442,1442,15,amze_unnamedsesq_1,0,999,999,94.38999939,,0,33.53448492,0.657647601,,,0,0,0,0,2,4,10,20,40,Sesq
a-copaene,704,SESQ7,amze,,TRUE,1402,1402,14,amze_unnamedsesq_1,0,999,999,91.20999908,,0,32.12735155,0.57793274,,,0,0,0,0,2,4,10,20,40,Sesq
a-farnesene,818,SESQ6,amze,,TRUE,1478,1478,134,amze_unnamedsesq_1,0,999,999,71.83999634,,0,34.78949576,0.53807531,,,0,0,0,0,2,4,10,20,40,Sesq
alloaromadendrene,913,SESQ5,amze,,TRUE,1493,1493,135,amze_unnamedsesq_1,0,999,999,83.37000275,,0,35.3219246,0.627754528,,,0,0,0,0,2,4,10,20,40,Sesq
aromadendrene,856,SESQ4,amze,,TRUE,1470,1470,88,amze_unnamedsesq_1,0,999,999,80.43000031,,0,34.52328134,0.627754528,,,0,0,0,0,2,4,10,20,40,Sesq
caryophyllene,1019,SESQ3,amze,,TRUE,1451,1451,87,amze_unnamedsesq_1,0,999,999,78.20999908,,0,33.83872997,0.667611959,,,0,0,0,0,2,4,10,20,40,Sesq
cedrene,1045,SESQ2,amze,,TRUE,1449,1449,50,amze_unnamedsesq_1,0,999,999,97.63999939,,0,33.76266871,0.637718886,,,0,0,0,0,2,4,10,20,40,Sesq
Me-OH-glutatric acid ,83,Me-OH-glutatric acid (?),,,TRUE,1623.170732,1623,33,amze_unnamedsesq_1,0,999,999,97.02999878,,0,39.71559934,0.828039955,,,0,0,0,0,6,12,30,60,120,
MBTCA,4,MBTCA,,,TRUE,1776.829268,1777,32,amze_unnamedsesq_1,0,999,999,94.88999939,,0,44.51324288,0.97768573,,,0,0,0,0,4,8,20,40,80,
FAME18 (Methyl Stearate),25,FAME18 (Methyl Stearate),,,TRUE,2161.481481,2161,31,amze_unnamedsesq_1,0,999,999,97.26000214,,0,55.06044338,0.71829972,,,0,0,0,0,2,4,10,20,40,
FAME16 (Methyl Palmitate),14,FAME16 (Methyl Palmitate),,,TRUE,1957.04698,1957,30,amze_unnamedsesq_1,0,999,999,95.08999634,,0,49.69165179,0.728276105,,,0,0,0,0,2,4,10,20,40,
DEET,62,DEET,,,TRUE,1600,1600,29,amze_unnamedsesq_1,0,999,999,85.80000305,,0,38.99214515,1.785772915,,,0,0,0,0,2,4,10,20,40,
C9 acid,711,C9 acid,,,TRUE,1381.906882,1382,28,amze_unnamedsesq_1,0,999,999,94.55999756,,0,31.22453179,0.688370565,,,0,0,0,0,1.5,3,7.5,15,30,
C9 Diacid (azelaic acid),16,C9 Diacid (azelaic acid),,,TRUE,1822.818792,1823,27,amze_unnamedsesq_1,0,999,999,98.69000244,,0,45.88399818,0.947756575,,,0,0,0,0,2,4,10,20,40,
C8 acid,695,C8 acid,,,TRUE,1293.392792,1293,26,amze_unnamedsesq_1,0,999,999,97.11000061,,0,27.34072511,0.71829972,,,0,0,0,0,1.5,3,7.5,15,30,
C7 acid,655,C7 acid,,,TRUE,,,49,amze_unnamedsesq_1,0,999,999,89.33999634,,0,23.15230614,0.768181645,,,0,0,0,0,1.5,3,7.5,15,30,
