BlobID,Description,Compound Name,LRI I,Library RI,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
354,,"blob194_g48_1,4-Undecadiene, (E)-",1140.4255319148933,1140.0,,false,0,28.583366617500484,1.3099998297000222,15537.0,224971.0,caice_voc_g48,830,C11H20,145,152,,
457,,blob413_g48_6-methyl-5-hepten-2-one_CAICE_vocstand_incomplete,1042.0,1042.0,,false,0,24.583367137500417,2.9599996152000503,9265.0,224731.0,caice_voc_g48,841,-,11,0,,
347,,"blob198_g48_Undecane, 5-methyl-",1157.4468085106382,1157.0,,false,0,29.250033197500496,0.829999892100014,16516.0,221788.0,caice_voc_g48,904,C12H26,142,170,,
516,,"blob131_g48_3-Eicosene, (E)-",1742.4242424242425,1697.0,,false,0,48.41669737250082,1.1999998440000204,7939.0,221717.0,caice_voc_g48,786,C20H40,58,280,,
404,,"blob363_g48_Decane, 2,5,6-trimethyl-",1140.4255319148933,1140.0,,false,0,28.583366617500484,0.829999892100014,11719.0,220823.0,caice_voc_g48,693,C13H28,217,184,,
377,,blob23_g48_1-chloro octane_CAICE_vocstand_incomplete,1090.0,1090.0,,false,0,26.583366877500453,1.599999792000027,13791.0,220659.0,caice_voc_g48,871,-,1,0,,
655,,"blob706_g48_Benzene, (1-nitropropyl)-",1796.9696969696968,1797.0,,false,0,49.91669717750084,1.9399997478000328,5977.0,220342.0,caice_voc_g48,726,C9H11NO2,303,165,,
360,,"blob256_g48_Decane, 2,5,9-trimethyl-",1611.1095343431261,1485.0,,false,0,40.750031702500685,0.9299998791000158,15340.0,213943.0,caice_voc_g48,887,C13H28,218,184,,
412,,"blob307_g48_Benzene, 1,2,3-trimethyl-",1023.9999999999999,1024.0,,false,0,23.833367235000406,2.6199996594000443,11057.0,213319.0,caice_voc_g48,851,C9H12,165,120,,
1076,,"blob226_g48_Heptadecane, 2,6-dimethyl-",,1649.0,,false,0,54.583363237500926,3.9199994904000666,3302.0,212633.0,caice_voc_g48,659,C19H40,97,268,,
464,,"blob448_g48_1-Undecene, 5-methyl-",1611.1095343431261,1485.0,,false,0,40.750031702500685,1.0399998648000177,8894.0,212461.0,caice_voc_g48,832,C12H24,341,168,,
945,,blob190_g48_trans-2-Undecen-1-ol,1742.4242424242425,1773.0,,false,0,48.41669737250082,1.5199998024000259,3843.0,211231.0,caice_voc_g48,673,C11H22O,110,170,,
382,,"blob131_g48_3-Eicosene, (E)-",1529.72972972973,1697.0,,false,0,42.16669818500072,1.1099998557000188,13510.0,211057.0,caice_voc_g48,836,C20H40,58,280,,
407,,"blob302_g48_Pentanal, 2,4-dimethyl-",1250.0000000000002,1250.0,,false,0,32.75003274250056,2.2299997101000377,11321.0,206339.0,caice_voc_g48,874,C7H14O,207,114,,
850,,blob723_g48_1-Butanol,,,,false,0,10.00003570000017,3.2899995723000557,4431.0,205246.0,caice_voc_g48,887,C4H10O,302,74,,
537,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",1784.8484848484848,,,false,0,49.58336388750084,2.2299997101000377,7666.0,203781.0,caice_voc_g48,751,C21H44,208,296,,
