BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response,LRI I
347,,blob232_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,0,49.16674076666738,2.979999642400043,8256.0,567987.0,caice_voc_g48,836,-,4,0,1770.0,,,1767.6470588235295
710,,"blob456_g48_Phosphonic acid, (p-hydroxyphenyl)-",,false,0,28.583409903333745,4.17999949840006,5368.0,582980.0,caice_voc_g48,869,C6H7O4P,150,174,1140.0,,,1138.2978723404256
193,,"blob301_g48_Cyclotrisiloxane, hexamethyl-",,false,0,12.250078530000177,0.7999999040000115,28103.0,594410.0,caice_voc_g48,855,C6H18O3Si3,120,222,,,,
185,,"blob161_g48_2,5-Cyclohexadien-1-one, 2,6-bis(1,1-dimethylethyl)-4-ethylidene-",,false,0,47.333407653334014,2.839999659200041,28939.0,598054.0,caice_voc_g48,891,C16H24O,54,232,1700.0,,,1702.9411764705883
95,,"blob80_g48_Octadecane, 2,6-dimethyl-",,false,0,42.250074930000615,0.9399998872000136,89587.0,640872.0,caice_voc_g48,865,C20H42,45,282,1532.0,,,1529.7297297297298
116,,blob82_g48_cis-2-Nonene,,false,0,18.083411163333594,0.8399998992000121,80382.0,697011.0,caice_voc_g48,937,C9H18,44,126,897.0,,,895.0
153,,blob229_g48_1-Iodo-2-methylundecane,,false,0,53.166740286667434,1.2199998536000176,48070.0,710592.0,caice_voc_g48,872,C12H25I,138,296,,,,
144,,blob88_g48_2-Ethyl-1-hexanol,,false,0,26.583410143333715,4.319999481600062,48164.0,778871.0,caice_voc_g48,913,C8H18O,39,130,1088.0,,,1088.0
126,,"blob165_g48_2-Propenoic acid, tridecyl ester",,false,0,48.2500742100007,2.1199997456000306,63103.0,782468.0,caice_voc_g48,901,C16H30O2,71,254,1733.0,,,1735.2941176470588
155,,"blob172_g48_1,4-Dioxin, 2,3-dihydro-5,6-dimethyl-",,false,0,15.833411433333563,3.099999628000045,42637.0,786550.0,caice_voc_g48,920,C6H10O2,55,114,850.0,,,850.0
