BlobID,Description,Compound Name,Group Name,Inclusion,LRI I,Library RI,Library Match Factor,Retention I (min),Retention II (sec),Internal Standard,Peak Value,Volume,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
690,,blob232_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,1783.3333333333335,1770.0,765,49.750030532500844,3.019999607400051,0,5308.0,253547.0,caice_voc_g48,-,4,0,,
480,,blob294_g48_2-Ethylbutyl acrylate,,false,1052.0,1052.0,799,25.000033750000423,1.7399997738000295,0,7798.0,251630.0,caice_voc_g48,C9H16O2,168,156,,
417,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",,false,1738.888888888889,1733.0,757,48.41669737250082,1.1099998557000188,0,10305.0,249883.0,caice_voc_g48,C21H38O4,269,354,,
259,,"blob310_g48_Decane, 2,5,9-trimethyl-",,false,1417.074269288285,1413.0,807,35.2500324175006,0.7799998986000132,0,20511.0,249435.0,caice_voc_g48,C13H28,159,184,,
420,,blob237_g48_o-Xylene,,false,894.9152542372881,895.0,870,18.000034660000306,2.479999677600042,0,10147.0,248726.0,caice_voc_g48,C8H10,133,106,,
501,,blob32_g48_Cetene,,false,1611.1095343431261,1597.0,775,40.750031702500685,0.949999876500016,0,7962.0,247720.0,caice_voc_g48,C16H32,41,224,,
619,,blob378_g48_Dodecanal,,false,1950.0175620634,,393,38.916698607500656,3.009999608700051,0,6206.0,246637.0,caice_voc_g48,C12H24O,163,184,,
362,,blob199_g48_3-Amino-5-t-butylisoxazole,,false,1281.818181818182,1282.0,886,33.916699257500575,2.409999686700041,0,12808.0,246500.0,caice_voc_g48,C7H12N2O,117,140,,
564,,"blob233_g48_Heptanenitrile, 7-oxo-",,false,958.1818181818181,958.0,879,20.916700947500356,3.959999485200067,0,6668.0,245817.0,caice_voc_g48,C7H11NO,115,125,,
405,,blob435_g48_2-Decen-1-ol,,false,1567.5675675675677,1568.0,800,43.333364700000736,2.119999724400036,0,10767.0,245640.0,caice_voc_g48,C10H20O,257,156,,
537,,"blob258_g48_Acetophenone, 3'-fluoro-4'-methoxy-",,false,1620.0000000000002,1620.0,839,44.91669782750076,3.8099995047000648,0,7086.0,245318.0,caice_voc_g48,C9H9FO2,132,168,,
355,,blob333_g48_2-Ethylhexanal,,false,998.181818181818,998.0,832,22.750034042500385,1.7499997725000296,0,13831.0,241096.0,caice_voc_g48,C8H16O,214,128,,
705,,"blob440_g48_2-Propanone, 1-hydroxy-",,false,,,850,11.583368827500196,3.239999578800055,0,5251.0,240889.0,caice_voc_g48,C3H6O2,100,74,,
350,,blob374_g48_4-Trifluoroacetoxyhexadecane,,false,1621.954240542781,1623.0,780,36.416698932500616,0.949999876500016,0,14553.0,240148.0,caice_voc_g48,C18H33F3O2,210,338,,
694,,"blob706_g48_Benzene, (1-nitropropyl)-",,false,1788.888888888889,1797.0,698,49.91669717750084,1.829999762100031,0,5248.0,239266.0,caice_voc_g48,C9H11NO2,303,165,,
572,,"blob495_g48_1,4-Dioxane, 2,5-dimethyl-",,false,861.0169491525423,863.0,840,16.333368210000277,2.6799996516000455,0,6509.0,235995.0,caice_voc_g48,C6H12O2,253,116,,
701,,"blob488_g48_Bicyclo[3.2.0]hepta-2,6-diene",,false,,,854,12.833368665000217,2.6499996555000447,0,5271.0,235290.0,caice_voc_g48,C7H8,239,92,,
517,,"blob500_g48_Tetradecane, 1-fluoro-",,false,1758.3333333333333,,718,49.00003063000083,0.9299998791000158,0,7272.0,234834.0,caice_voc_g48,C14H29F,246,216,,
315,,blob610_g48_Isopropyl myristate,,false,1660.0,,631,46.08336434250078,1.599999792000027,0,16448.0,232514.0,caice_voc_g48,C17H34O2,285,270,,
352,,"blob322_g48_Benzene, (1-butylheptyl)-",,false,1660.0,1660.0,673,46.08336434250078,1.7199997764000292,0,14146.0,229887.0,caice_voc_g48,C17H28,193,232,,
376,,blob374_g48_4-Trifluoroacetoxyhexadecane,,false,1622.857142857143,1623.0,807,45.00003115000076,1.129999853100019,0,11971.0,228891.0,caice_voc_g48,C18H33F3O2,210,338,,
393,,"blob321_g48_Sulfurous acid, butyl 2-ethylhexyl ester",,false,1660.0,1660.0,810,46.08336434250078,1.0399998648000177,0,11621.0,228063.0,caice_voc_g48,C12H26O3S,209,250,,
522,,"blob185_g48_1H-Tetrazole, 1-methyl-",,false,850.8474576271185,852.0,871,15.833368275000266,4.369999431900074,0,7140.0,226390.0,caice_voc_g48,C2H4N4,64,84,,
836,,"blob633_g48_3,4 dihydroxybenzoic acid_CAICE_vocstand_incomplete",,false,866.1016949152541,865.0,805,16.58336817750028,1.3099998297000222,0,4139.0,225825.0,caice_voc_g48,-,14,0,,
711,,"blob653_g48_Pentadecanoic acid, 14-methyl-, methyl ester",,false,1329.2685673220712,,440,34.750032482500586,4.639999396800079,0,5329.0,223942.0,caice_voc_g48,C17H34O2,221,270,,
686,,blob175_g48_4-Cyanocyclohexene,,false,1106.3829787234042,1106.0,871,27.250033457500464,1.3099998297000222,0,5324.0,221719.0,caice_voc_g48,C7H9N,53,107,,
359,,blob229_g48_1-Iodo-2-methylundecane,,false,1446.3428366103553,,793,35.4166990625006,0.7999998960000135,0,13548.0,217591.0,caice_voc_g48,C12H25I,138,296,,
520,,blob294_g48_2-Ethylbutyl acrylate,,false,1052.0,1052.0,726,25.000033750000423,1.5599997972000264,0,7341.0,215805.0,caice_voc_g48,C9H16O2,168,156,,
504,,"blob185_g48_1H-Tetrazole, 1-methyl-",,false,850.8474576271185,852.0,880,15.833368275000266,4.319999438400073,0,7756.0,215711.0,caice_voc_g48,C2H4N4,64,84,,
696,,"blob520_g48_1-Decanol, 5,9-dimethyl-",,false,,1623.0,686,51.666696950000876,0.9899998713000168,0,5135.0,214988.0,caice_voc_g48,C12H26O,158,186,,
460,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,false,1777.7777777777778,,737,49.58336388750084,0.9399998778000159,0,8551.0,214306.0,caice_voc_g48,C21H44,208,296,,
338,,"blob370_g48_Z-1,6-Undecadiene",,false,1240.909090909091,1241.0,877,32.41669945250055,1.239999838800021,0,15192.0,212907.0,caice_voc_g48,C11H20,309,152,,
369,,blob186_g48_4-Trifluoroacetoxyhexadecane,,false,1562.1621621621623,1581.0,755,43.16669805500073,1.0399998648000177,0,12451.0,209518.0,caice_voc_g48,C18H33F3O2,131,338,,
288,,"blob216_g48_Dodecane, 2,7,10-trimethyl-",,false,1543.2432432432433,1543.0,840,42.58336479750072,0.7899998973000134,0,18926.0,209493.0,caice_voc_g48,C15H32,211,212,,
377,,"blob302_g48_Pentanal, 2,4-dimethyl-",,false,1250.0000000000002,1250.0,823,32.75003274250056,2.139999721800036,0,11764.0,206293.0,caice_voc_g48,C7H14O,207,114,,
305,,"blob36_g48_2,2,7,7-Tetramethyloctane",,false,1032.0,1024.0,906,24.16670052500041,0.6199999194000105,0,17330.0,205855.0,caice_voc_g48,C12H26,42,170,,
555,,blob154_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,1788.888888888889,,747,49.91669717750084,2.5099996737000425,0,6687.0,205522.0,caice_voc_g48,-,5,0,,
735,,blob190_g48_trans-2-Undecen-1-ol,,false,,1773.0,766,56.08336304250095,2.9199996204000493,0,5174.0,203537.0,caice_voc_g48,C11H22O,110,170,,
448,,blob308_g48_Naphthalene_CAICE_vocstand_incomplete,,false,1250.0000000000002,1250.0,867,32.75003274250056,1.3499998245000229,0,8571.0,200839.0,caice_voc_g48,-,9,0,,
553,,"blob546_g48_2-Allylpent-4-enoic acid, benzyl ester",,false,1750.0,1755.0,753,48.750030662500826,1.7199997764000292,0,6865.0,200814.0,caice_voc_g48,C15H18O2,242,230,,
513,,"blob440_g48_2-Propanone, 1-hydroxy-",,false,,,821,11.583368827500196,3.4099995567000576,0,7334.0,197635.0,caice_voc_g48,C3H6O2,100,74,,
431,,blob316_g48_n-Nonylcyclohexane,,false,1562.1621621621623,1562.0,831,43.16669805500073,1.1699998479000198,0,9743.0,197366.0,caice_voc_g48,C15H30,187,210,,
779,,blob358_g48_Methyl Isobutyl Ketone,,false,,,726,12.833368665000217,2.119999724400036,0,4605.0,197038.0,caice_voc_g48,C6H12O,130,100,,
391,,blob21_g48_1-Undecene,,false,1110.6382978723402,1098.0,834,27.416700102500464,0.879999885600015,0,11637.0,196716.0,caice_voc_g48,C11H22,34,154,,
620,,"blob453_g48_Oxetane, 2,4-dimethyl-, trans-",,false,832.2033898305085,833.0,835,14.916701727500252,2.469999678900042,0,6133.0,195718.0,caice_voc_g48,C5H10O,202,86,,
458,,blob154_g48_Geranylacetone_CAICE_vocstand_incomplete,,false,1850.0143689609686,,553,38.75003196250066,2.879999625600049,0,8433.0,195694.0,caice_voc_g48,-,5,0,,
587,,"blob508_g48_Dodecane, 2,7,10-trimethyl-",,false,1591.891891891892,1592.0,808,44.083364602500744,0.8899998843000151,0,6495.0,193555.0,caice_voc_g48,C15H32,249,212,,
499,,"blob259_g48_9-Octadecene, (E)-",,false,1747.2222222222222,,759,48.66669734000082,1.129999853100019,0,7633.0,193234.0,caice_voc_g48,C18H36,247,252,,
428,,"blob244_g48_Cyclobutene, 2-propenylidene-",,false,1187.2340425531916,1187.0,842,30.416699712500517,2.0999997270000357,0,9459.0,189933.0,caice_voc_g48,C7H8,152,92,,
401,,"blob259_g48_9-Octadecene, (E)-",,false,1529.72972972973,,753,42.16669818500072,1.0099998687000171,0,10980.0,187759.0,caice_voc_g48,C18H36,247,252,,
609,,"blob347_g48_4-Nonene, 2-methyl-",,false,1019.9999999999999,1020.0,867,23.666700590000403,0.8699998869000147,0,6546.0,185911.0,caice_voc_g48,C10H20,300,140,,
