BlobID,Description,Compound Name,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library Name,Library Match Factor,Library Formula,Library ID,Library Molecular Weight,Library RI,Characteristic Ions,Characteristic Ions Response
99,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,45.33340727,1.059999788,292942,5873974,caice_voc_g48,740,C18H36,247,252,,,
100,,blob229_g48_1-Iodo-2-methylundecane,,FALSE,0,39.58340842,0.859999828,300918,1494163,caice_voc_g48,771,C12H25I,138,296,,,
101,,"blob205_g48_Octane, 5-ethyl-2-methyl-",,FALSE,0,28.33341067,0.79999984,300487,3427441,caice_voc_g48,838,C11H24,107,156,1132,,
102,,"blob36_g48_2,2,7,7-Tetramethyloctane",,FALSE,0,23.5000783,0.659999868,268180,3270835,caice_voc_g48,892,C12H26,42,170,1024,,
103,,blob318_g48_1-Hexadecanol,,FALSE,0,37.83340877,1.039999792,267169,1920037,caice_voc_g48,702,C16H34O,172,242,,,
104,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,33.08340972,0.759999848,282923,3333701,caice_voc_g48,753,C21H44,208,296,,,
105,,"blob144_g48_Heptadecane, 2,6-dimethyl-",,FALSE,0,48.58340662,1.039999792,257668,7156612,caice_voc_g48,869,C19H40,62,268,1745,,
106,,"blob259_g48_9-Octadecene, (E)-",,FALSE,0,39.5000751,0.959999808,244648,3020261,caice_voc_g48,709,C18H36,247,252,,,
107,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,35.83340917,0.79999984,257254,1933476,caice_voc_g48,727,C21H44,208,296,,,
108,,blob621_g48_1-Methyl-2-phenylcyclopropane,,FALSE,0,28.0000774,3.09999938,224221,2498064,caice_voc_g48,794,C10H12,288,132,1126,,
109,,blob220_g48_1-Iodo-2-methylundecane,,FALSE,0,47.0000736,0.979999804,225167,8089046,caice_voc_g48,806,C12H25I,109,296,1689,,
110,,"blob189_g48_Heptadecane, 2,3-dimethyl-",,FALSE,0,49.25007315,1.079999784,232585,4644780,caice_voc_g48,828,C19H40,82,268,1773,,
111,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,FALSE,0,47.66674013,1.039999792,224409,6260651,caice_voc_g48,773,C21H44,208,296,,,
