BlobID,Description,Compound Name,Library RI,LRI I,Library Match Factor,Volume,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Library Name,Library Formula,Library ID,Library Molecular Weight,Characteristic Ions,Characteristic Ions Response
281,,blob186_g48_4-Trifluoroacetoxyhexadecane,1581,1572.972973,784,509117,,FALSE,0,43.50003135,1.139999852,23241,caice_voc_g48,C18H33F3O2,131,338,,
292,,"blob244_g48_Cyclobutene, 2-propenylidene-",1187,1187.234043,852,389997,,FALSE,0,30.41669971,2.189999715,22664,caice_voc_g48,C7H8,152,92,,
293,,"blob170_g48_Cyclopentane, undecyl-",1666,1665.714286,842,433073,,FALSE,0,46.25003099,1.269999835,22428,caice_voc_g48,C16H32,93,224,,
303,,"blob162_g48_Decane, 2,5,9-trimethyl-",1066,1066,881,434982,,FALSE,0,25.58336701,0.759999901,21948,caice_voc_g48,C13H28,75,184,,
305,,"blob158_g48_Decane, 2,5,9-trimethyl-",976,976.3636364,916,424007,,FALSE,0,21.75003417,0.709999908,22778,caice_voc_g48,C13H28,74,184,,
310,,blob351_g48_3-Methylheptyl acetate,1187,1187.234043,860,351386,,FALSE,0,30.41669971,1.799999766,21670,caice_voc_g48,C10H20O2,235,172,,
311,,"blob183_g48_Hexanal, 5-methyl-",951,949.0909091,871,514576,,FALSE,0,20.50003434,2.319999698,21890,caice_voc_g48,C7H14O,73,114,,
316,,blob220_g48_1-Iodo-2-methylundecane,1689,1697.142857,792,661346,,FALSE,0,47.16669754,2.809999635,21496,caice_voc_g48,C12H25I,109,296,,
318,,blob220_g48_1-Iodo-2-methylundecane,1689,1697.142857,817,384609,,FALSE,0,47.16669754,2.759999641,21062,caice_voc_g48,C12H25I,109,296,,
324,,"blob465_g48_Oxalic acid, allyl hexadecyl ester",1733,1739.02851,765,511686,,FALSE,0,37.08336551,1.059999862,21307,caice_voc_g48,C21H38O4,269,354,,
330,,"blob283_g48_Cyclopropane, 1-heptyl-2-methyl-",1532,1532.432432,860,715904,,FALSE,0,42.25003151,3.759999511,20300,caice_voc_g48,C11H22,135,154,,
332,,"blob142_g48_Octane, 2,3,6,7-tetramethyl-",1040,1040,918,336204,,FALSE,0,24.50003382,0.739999904,20491,caice_voc_g48,C12H26,67,170,,
347,,C8,,800,-1,238124,,TRUE,0,13.25003528,0.679999912,19408,-,-,-1,-1,,
348,,"blob189_g48_Heptadecane, 2,3-dimethyl-",1773,1772.727273,827,1356047,,FALSE,0,49.2500306,1.109999856,19521,caice_voc_g48,C19H40,82,268,,
352,,"blob259_g48_9-Octadecene, (E)-",,1545.945946,768,234509,,FALSE,0,42.66669812,1.119999854,19295,caice_voc_g48,C18H36,247,252,,
362,,"blob282_g48_Heptadecane, 2,6,10,14-tetramethyl-",,,806,588995,,FALSE,0,50.25003047,1.029999866,18716,caice_voc_g48,C21H44,208,296,,
365,,"blob251_g48_Heptadecane, 2,6-dimethyl-",1706,1706.060606,808,346368,,FALSE,0,47.4166975,0.969999874,18800,caice_voc_g48,C19H40,201,268,,
369,,blob237_g48_o-Xylene,895,895,887,439534,,FALSE,0,18.00003466,2.549999669,18171,caice_voc_g48,C8H10,133,106,,
376,,"blob193_g48_Undecane, 3-methyl-",1172,1172.340426,852,177574,,FALSE,0,29.83336646,0.84999989,18415,caice_voc_g48,C12H26,143,170,,
386,,blob220_g48_1-Iodo-2-methylundecane,1689,1694.285714,784,1591553,,FALSE,0,47.08336421,2.969999614,17081,caice_voc_g48,C12H25I,109,296,,
390,,blob220_g48_1-Iodo-2-methylundecane,1689,1703.700813,821,379844,,FALSE,0,40.33336509,0.91999988,17179,caice_voc_g48,C12H25I,109,296,,
393,,"blob259_g48_9-Octadecene, (E)-",,1537.837838,778,390223,,FALSE,0,42.41669815,1.089999858,16777,caice_voc_g48,C18H36,247,252,,
394,,"blob158_g48_Decane, 2,5,9-trimethyl-",976,981.8181818,842,223602,,FALSE,0,22.00003414,0.709999908,17003,caice_voc_g48,C13H28,74,184,,
398,,"blob207_g48_2-Undecanethiol, 2-methyl-",1111,1112.765957,850,497959,,FALSE,0,27.50003343,0.909999882,16545,caice_voc_g48,C12H26S,80,202,,
400,,"blob225_g48_Bicyclo[2.2.2]oct-7-en-2-one, 5-methylene-",1086,1086,855,286548,,FALSE,0,26.41670023,2.22999971,15939,caice_voc_g48,C9H10O,167,134,,
402,,"blob250_g48_Oxalic acid, isohexyl neopentyl ester",1282,1281.818182,845,166559,,FALSE,0,33.91669926,0.779999899,16723,caice_voc_g48,C13H24O4,243,244,,
404,,"blob208_g48_Cyclobutene, 2-propenylidene-",,,864,547556,,FALSE,0,12.83336867,2.739999644,15611,caice_voc_g48,C7H8,77,92,,
406,,"blob376_g48_Oxalic acid, allyl hexadecyl ester",1797,1796.969697,797,598526,,FALSE,0,49.91669718,1.269999835,15903,caice_voc_g48,C21H38O4,149,354,,
407,,"blob132_g48_2-Tetradecene, (E)-",1423,1431.708553,739,273646,,FALSE,0,35.33336574,0.929999879,16024,caice_voc_g48,C14H28,92,196,,
409,,blob84_g48_Styrene_CAICE_vocstand_incomplete,925,923.6363636,926,342270,,FALSE,0,19.33336782,4.449999422,15745,caice_voc_g48,-,2,0,,
412,,"blob524_g48_Octane, 6-ethyl-2-methyl-",1423,1417.074269,805,193918,,FALSE,0,35.25003242,0.869999887,16234,caice_voc_g48,C11H24,311,156,,
413,,blob220_g48_1-Iodo-2-methylundecane,1689,1688.571429,846,581588,,FALSE,0,46.91669757,1.009999869,15676,caice_voc_g48,C12H25I,109,296,,
416,,blob84_g48_Styrene_CAICE_vocstand_incomplete,925,923.6363636,881,80344,,FALSE,0,19.33336782,4.369999432,15589,caice_voc_g48,-,2,0,,
417,,"blob184_g48_Cyclotetrasiloxane, octamethyl-",991,983.6363636,910,183924,,FALSE,0,22.08336746,0.589999923,16068,caice_voc_g48,C8H24O4Si4,83,296,,
419,,"blob184_g48_Cyclotetrasiloxane, octamethyl-",991,992.7272727,771,300624,,FALSE,0,22.50003408,0.749999903,15353,caice_voc_g48,C8H24O4Si4,83,296,,
431,,"blob207_g48_2-Undecanethiol, 2-methyl-",1111,1121.276596,817,778696,,FALSE,0,27.83336672,0.989999871,14964,caice_voc_g48,C12H26S,80,202,,
439,,blob21_g48_1-Undecene,1098,1110.638298,859,250391,,FALSE,0,27.4167001,0.979999873,14635,caice_voc_g48,C11H22,34,154,,
